"La Chorrera","Panamá","","8.8833333333333","-79.783333333333","2010-01-14","100","54","58.366666666667",""
"Kânyâkumârî","India","NAS","8.0833333333333","77.533333333333","2010-01-14","98","55.8","29.66",""
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2010-02-01","100","180","61",""
"Claremont","California USA","El Roble Intermediate School","34.1","-117.73333333333","2010-03-21","100","—","0",""
"Caseros","Argentina","Escuela ESB 5","-34.6","-58.566666666667","2010-03-20","100","69","34.5",""
"Medvode","Slovenia","Osnovna šola Preska","46.133333333333","14.416666666667","2010-03-20","100","104","46.166666666667",""
"Xewkija","Malta","Gozo college","36.033333333333","14.25","2010-03-20","—","—","0",""
"Sfax","Tunisia","écoles de Sakiét Eddayer","34.8","10.783333333333","2010-03-20","100","71","35.366666666667","35.375"
"Sibiu","Romania","Colegiul National Gheorghe Lazar","45.8","24.15","2010-03-20","—","—","0",""
"Pujato","Argentina","Escuela Primaria Nº 1345","-32.983333333333","-61.033333333333","2010-03-22","102","72","35.216666666667","35.218"
"Meerut","India","NAS Inter College","29","77.7","2010-03-20","70","38.8","29",""
"Loule","Portugal","Escola Secundaria de Loule","37.15","-8.0166666666667","2010-03-20","—","—","",""
"Marina di Massa","Italy","Secondary school Don Milani","44","10.1","2010-03-20","100","96.9","44.1",""
"Tanger","Morocco","Fondation Banque Populaire","35.766666666667","-5.8","2010-06-17","100","35.5","19.54",""
"Agadir","Morocco","","30.433333333333","-9.6","2010-06-17","100","26.5","14.57",""
"Medvode","Slovenia","Osnovna šola Preska","46.133333333333","14.416666666667","2010-06-22","100","79.5","2303",""
"La Mégère","France","Ecole primaire","44.116666666667","1.15","2010-06-22","100","37.6","20.6","20.606"
"HôChiMinhCity","Vietnam","HAAC","10.766666666667","106.65","2010-06-21","130.5","29.3","12.65","12.654"
"New Delhi","India","R.K.G.S.B.V,Madanpur khadar","28.516666666667","77.2","2010-06-22","244","13.5","3.176",""
"Meerut","India","NAS Inter College","29","77.7","2010-06-21","—","—","5.55",""
"Sempeserre","France","Ecole publique","44.016666666667","0.65","2010-06-21","100","37.8","2040",""
"Lisbonne","Portugal","lycée Français Charle Lepierre","38.716666666667","-9.1666666666667","2010-06-21","153","85","29",""
"Sempeserre","France","Ecole publique","44.016666666667","0.65","2010-06-17","100","37.8","2040",""
"Marina di Carrara","Italy","M Buonarroti primary school","44.033333333333","10.033333333333","2010-06-21","100","37.6","2035",""
"Tanger","Morocco","Fondation Banque Populaire","35.766666666667","-5.8","2010-06-17","100","22","1240",""
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2010-09-23","100","97","44.166666666667",""
"Marina di Carrara","Italy","M Buonarroti primary school","44.033333333333","10.033333333333","2010-09-23","100","99.5","44.85",""
"Fontenay le C","France","Collège Tiraqueau","46.466666666667","-0.78333333333333","2010-09-23","100","104.8","46.333333333333",""
"Medvode","Slovenia","Osnovna šola Preska","46.133333333333","14.416666666667","2010-09-23","100","97.8","45.616666666667",""
"Cisnadie","Romania","Lycee Theorique Gustav Gundisch","45.716666666667","24.15","2010-09-23","—","—","45",""
"Caseros","Argentina","Escuela ESB 5","-34.6","-58.566666666667","2010-09-23","100","71","34.5",""
"Pujato","Argentina","Escuela Primaria Nº 1345","-32.983333333333","-61.033333333333","2010-09-22","100","69","32.6",""
"Beloeil","Canada","Ecole Le Tournesol","45.583333333333","-73.2","2010-09-23","15","15.3","45.583333333333",""
"Nis","Serbia","Bubanjski heroji school","43.316666666667","21.833333333333","2010-09-23","100","94.7","43.433333333333",""
"Meerut","India","NAS Inter College","29","77.7","2010-09-23","169","97","29.85","29.854"
"Xewkija","Malta","Gozo college","36.033333333333","14.25","2010-12-21","100","169","59.416666666667",""
"Chennai-Madras","India","Vels university","13.083333333333","80.266666666667","2010-12-21","67","49.5","36.5",""
"Sibiu","Romania","Regina Maria","45.783333333333","24.15","2010-12-21","206.5","526","68.6",""
"Pujato","Argentina","Escuela Primaria Nº 1345","-33.016666666667","-61.05","2011-02-11","32.2","16.9","277","27.7"
"New Delhi","India","RK Govt Sarvodaya Bal Vidyalaya","28.533333333333","77.283333333333","2011-02-11","100","91.5","42.5","42.5"
"Meerut","India","NAS Inter College","29","77.7","2011-02-10","57","57.4","45",""
"Lafrançaise","France","Collège Antonin Perbosc","44.133333333333","1.25","2011-02-10","100","160","58",""
"Veria","Greece","5th Lyceum of Veria","40.3","22.316666666667","2011-03-23","18.5","15.01","39.07",""
"Veria","Greece","5th Lyceum of Veria","40.3","22.316666666667","2011-03-24","18.5","14.8","38.6",""
"Veria","Greece","5th Lyceum of Veria","40.3","22.316666666667","2011-03-20","18.5","16.04","40.94",""
"Veria","Greece","5th Lyceum of Veria","40.3","22.316666666667","2011-03-21","18.5","15.53","40.02",""
"Veria","Greece","5th Lyceum of Veria","40.3","22.316666666667","2011-03-22","18.5","15.28","39.55",""
"Sibiu","Romania","Regina Maria","45.783333333333","24.15","2011-03-18","100","103","45.833333333333","45.847"
"Sibiu","Romania","Regina Maria","45.783333333333","24.15","2011-03-22","100","99","44.7","44.712"
"Sibiu","Romania","Regina Maria","45.783333333333","24.15","2011-03-24","100","97.3","44.2","44.216"
"Sibiu","Romania","Regina Maria","45.783333333333","24.15","2011-03-25","100","96.4","43.95","43.95"
"Sibiu","Romania","Regina Maria","45.783333333333","24.15","2011-03-21","100","100.2","45.05","45.057"
"Sibiu","Romania","Regina Maria","45.783333333333","24.15","2011-03-20","100","101","45.283333333333","45.285"
"Tălmaciu","Romania","Grup scolar Johannes Lebel","45.683333333333","24.266666666667","2011-03-16","108.2","119","47.716666666667","47.722"
"Tălmaciu","Romania","Grup scolar Johannes Lebel","45.683333333333","24.266666666667","2011-03-18","108.2","114","46.483333333333","46.495"
"Tălmaciu","Romania","Grup scolar Johannes Lebel","45.683333333333","24.266666666667","2011-03-22","108.2","109","45.2","45.211"
"Tălmaciu","Romania","Grup scolar Johannes Lebel","45.683333333333","24.266666666667","2011-03-23","108.2","107","44.666666666667","44.681"
"Tălmaciu","Romania","Grup scolar Johannes Lebel","45.683333333333","24.266666666667","2011-03-24","108.2","106","44.4","44.412"
"Tălmaciu","Romania","Grup scolar Johannes Lebel","45.683333333333","24.266666666667","2011-03-20","108.2","112","45.983333333333","45.989"
"Tălmaciu","Romania","Grup scolar Johannes Lebel","45.683333333333","24.266666666667","2011-03-21","108.2","110.4","45.566666666667","45.577"
"Nis","Serbia","Bubanjski heroji school","43.316666666667","21.833333333333","2011-03-13","100","104.5","46.25","46.261"
"Nis","Serbia","Bubanjski heroji school","43.316666666667","21.833333333333","2011-03-16","100","98.5","44.566666666667","44.566"
"Nis","Serbia","Bubanjski heroji school","43.316666666667","21.833333333333","2011-03-23","100","89.5","41.816666666667","41.829"
